alpha_variance,sigma_shape,sigma_scale,beta_shape,beta_scale,k_alpha,k_beta,Probability
1,0.1,1,2,1,0.5,5,0.27092432752573764
1,0.30000000000000004,1,2,1,0.5,5,0.31374351978333487
1,0.5000000000000001,1,2,1,0.5,5,0.35004675180916633
1,0.7000000000000001,1,2,1,0.5,5,0.39554530446942837
1,0.9000000000000001,1,2,1,0.5,5,0.4299584100080955
1,1.1000000000000003,1,2,1,0.5,5,0.45640140748115376
1,1.3000000000000003,1,2,1,0.5,5,0.494295642639599
1,1.5000000000000004,1,2,1,0.5,5,0.5173585732663639
1,1.7000000000000004,1,2,1,0.5,5,0.5464927142497878
1,1.9000000000000004,1,2,1,0.5,5,0.5672802914973231
1,2.1000000000000005,1,2,1,0.5,5,0.593609893264483
1,2.3000000000000007,1,2,1,0.5,5,0.6133457648183317
1,2.5000000000000004,1,2,1,0.5,5,0.6309910788146388
1,2.7000000000000006,1,2,1,0.5,5,0.6459031892978309
1,2.900000000000001,1,2,1,0.5,5,0.6694404660301594
1,3.1000000000000005,1,2,1,0.5,5,0.6822481883779148
1,3.3000000000000007,1,2,1,0.5,5,0.695504892461775
1,3.500000000000001,1,2,1,0.5,5,0.707642675072781
1,3.7000000000000006,1,2,1,0.5,5,0.7177321301587678
1,3.900000000000001,1,2,1,0.5,5,0.7278622945452884
1,4.1000000000000005,1,2,1,0.5,5,0.7378038677914007
1,4.300000000000001,1,2,1,0.5,5,0.7473414816272006
1,4.500000000000001,1,2,1,0.5,5,0.7569407594392398
1,4.7,1,2,1,0.5,5,0.7592346638176526
1,4.9,1,2,1,0.5,5,0.7727366374826526
1,5.1000000000000005,1,2,1,0.5,5,0.7815738225967993
